"","Nu_Optimal","Eps_Optimal","Scale_Optimal","C2"
"95%",0.774910161584628,0.632388530580125,2.66990246384075,25.0696950583407
"95%",0.775076207886207,0.631741766306407,2.65432846336717,25.1705895842328
"95%",0.781406156280098,0.607348939884336,2.78086343552236,24.0693734719221
"95%",0.778617286138413,0.618033229005572,2.67960887335189,24.6562244053756
"95%",0.999995000039884,1e-05,3.14775340703424,21.2249829430288
"95%",0.781218275258027,0.608065641849216,2.74444466731904,24.2923031438366
"95%",0.783901499046741,0.597871917584582,2.77634050573159,24.0644158147155
"95%",0.77686461467582,0.624798265436111,2.69091967119468,24.8738902615713
"95%",0.777182832971628,0.62356708040165,2.68902346340549,24.8914304820652
"95%",0.778474022322083,0.618584736511097,2.69950077946454,24.7493954739345
"95%",0.779242133485093,0.615630866249469,2.72523006392464,24.5607302994478
"95%",0.775132921392218,0.631520943951109,2.64965639065335,25.2149722540772
"95%",0.785641720424706,0.591308541485162,2.82491929742262,23.5563459107358
"95%",0.774798816175536,0.632822429658022,2.64408924302643,25.2680625471969
"95%",0.776428145100256,0.626489072550576,2.66513102645791,25.1145778348309
"95%",0.777994737156293,0.620431686703726,2.70479100831726,24.7945040344255
"95%",0.777346280228254,0.622935207006495,2.66557955208247,25.0891418790156
"95%",0.778145232263365,0.619851431218948,2.71379021652729,24.7122829021834
"95%",0.776600510481186,0.625821067450115,2.66069146027597,25.0898859450824
"95%",0.781532345096028,0.606867821255297,2.7559232151829,24.2116393104772
"95%",0.783812137001197,0.598209965229314,2.81371923288828,23.7883154159958
"95%",0.783718872435043,0.598562881437408,2.76152255704201,24.0971329277423
"95%",0.999995000024573,9.99999999993107e-06,3.1862227375569,20.9853822323896
"95%",0.999995000023398,9.99999999994282e-06,3.15254495864002,21.3315692617467
"95%",0.780755422591428,0.609833158442285,2.75740037957848,24.2741827047373
"95%",0.999995000039884,1e-05,3.18282094337677,21.01189629004
"95%",0.776644243203382,0.625651641071181,2.67800956379771,24.9276351271543
"95%",0.781889315145448,0.60550788663586,2.74441087339292,24.2473810263441
"95%",0.999995000039884,1e-05,3.10710814199569,21.5840416564725
"95%",0.781512519073252,0.606943398478109,2.73924878399897,24.3383814604351
"95%",0.781365446672928,0.607504195544196,2.76970406280549,24.1663510202609
"95%",0.999995000039884,1e-05,3.12830726306395,21.4968433344155
"95%",0.999995000039884,1e-05,3.03720235248707,22.0193111325745
"95%",0.777363394968605,0.622869062594053,2.67212911258548,25.0276467768773
"95%",0.779005000433504,0.616541993320197,2.67690079995313,24.8225709466572
"95%",0.783954216549116,0.597672539041136,2.76928635675279,24.0761335463911
"95%",0.775741653424852,0.629153366736915,2.67666531503592,24.9401540410677
"95%",0.782523677959724,0.603095114612524,2.77685365083997,24.1041297166501
"95%",0.776333639914845,0.626855490778981,2.67743683781356,24.9533477053828
"95%",0.784514364345884,0.595556177868604,2.78018429980692,24.0311451214951
"95%",0.779068736991314,0.616297030799261,2.72818384459952,24.4891899442246
"95%",0.776424119879207,0.626504676917962,2.67974129031862,25.026278398698
"95%",0.780444719399928,0.611021166535822,2.70230213385481,24.4491675717079
"95%",0.781202501968586,0.608125831725945,2.73154727117856,24.4590357553417
"95%",0.999995000035552,9.99999999937719e-06,3.14770048407683,21.2080042593244
"95%",0.781583028465538,0.606674637570334,2.7695129091597,24.1237410925929
"95%",0.784662881885156,0.594995697699033,2.79890025798487,23.8940645995544
"95%",0.774298748026334,0.634773108300641,2.62486055755951,25.3147009400683
"95%",0.779240728166224,0.615636263752654,2.71595209102118,24.6446322912984
"95%",0.78289862553569,0.601671380577759,2.7567419387065,24.1651821611048
"95%",0.776781624471121,0.625119567149975,2.68866446699466,24.873726116801
"95%",0.78078269648084,0.609728931715614,2.74182312265362,24.3914726006375
"95%",0.779532772646179,0.614515126083378,2.72431327548081,24.5039532986886
"95%",0.78572878922959,0.590981136920235,2.80696187738794,23.7714018814788
"95%",0.999995000028109,9.99999999922958e-06,3.10780522217847,21.5190781889225
"95%",0.777964838426479,0.620546999887206,2.67842613907863,24.9441309574978
"95%",0.781879841959101,0.605543955640819,2.74920315804689,24.3259954711791
"95%",0.78131913338871,0.607680847430466,2.75630970924967,24.2837879863003
"95%",0.778788595307975,0.617374100486456,2.68802847838599,24.8347239659687
"95%",0.776484968940532,0.626268808661536,2.65284491943963,25.1640963948545
"95%",0.999995000026632,9.99999999946639e-06,3.05120435304415,21.8966036498033
"95%",0.780414346594358,0.611137365556595,2.74394839014693,24.3931849608935
"95%",0.778471519583664,0.618594373355234,2.69868316229941,24.7366738733788
"95%",0.777277172664962,0.623202329404487,2.69091966926803,24.8528799784617
"95%",0.778696015069822,0.617730265594379,2.69549978041252,24.7334028013896
"95%",0.778246098595877,0.619462687953299,2.68568646052637,24.7775669714468
"95%",0.777857750192935,0.620960110373379,2.68202639111599,24.8113800671106
"95%",0.780299096488765,0.611578390385507,2.73017004695309,24.5079561878109
"95%",0.77759548347478,0.621972464775501,2.71472102209481,24.6349820212445
"95%",0.783596465310378,0.599026237986385,2.7721327247779,24.1009428502437
"95%",0.773613210938949,0.637452531470996,2.63531636458639,25.3987117081881
"95%",0.780852700678035,0.609461454641771,2.72003667139321,24.5868389479269
"95%",0.779157076820337,0.615957594197294,2.74679880213553,24.4153126599081
"95%",0.78217535109835,0.604419338215892,2.74019529269849,24.3299745816094
"95%",0.775092373582197,0.631678818569749,2.66636817002376,25.102925153582
"95%",0.779351023044252,0.615212722804461,2.71231171941383,24.6777094700845
"95%",0.777911206305233,0.620753876358716,2.7121045219187,24.6795947807525
"95%",0.999995000039884,1e-05,3.11968603206831,21.5562497138261
"95%",0.779498796151164,0.614645503910003,2.73193388767881,24.6157974170956
"95%",0.77467714278374,0.633296758707263,2.66943720349184,25.0740644943606
"95%",0.77910633496825,0.616152552395723,2.69588300761121,24.7623673152386
"95%",0.779957944239651,0.612884851353367,2.72606309224854,24.5324856061338
"95%",0.777084480297697,0.623947468135255,2.66426362268164,25.023380288808
"95%",0.780613214299842,0.610376756771325,2.75766616088354,24.3861030352035
"95%",0.99999500004135,9.99999999931921e-06,3.13973588556249,21.1249939936006
"95%",0.780898454884307,0.60928666698409,2.75813877366182,24.4694169780288
"95%",0.999995000043662,9.99999999951814e-06,3.14102585826354,21.2873452949308
"95%",0.780187407154499,0.612005949067806,2.72367001075124,24.5540404336845
"95%",0.782558954532835,0.602961089248696,2.74444666387651,24.0737189647832
"95%",0.780925708204143,0.609182567886497,2.74133314399413,24.3958322681496
"95%",0.780576236517846,0.610518147900296,2.78022845684543,24.1217412917548
"95%",0.777600364395702,0.621953616319254,2.66978074543574,25.0044672722679
"95%",0.777592596920553,0.621983611809029,2.70466853953815,24.747446729805
"95%",0.780078471591295,0.612423117592338,2.7060985415965,24.6365314474719
"95%",0.7799318705497,0.612984762375996,2.69828382547021,24.485577490532
"95%",0.777155050583473,0.623674518732145,2.67176380912605,24.8251366746733
"95%",0.783374693853543,0.599866199816085,2.76909065111768,24.0760921976645
"95%",0.775969824398404,0.628267156851511,2.66285619862988,25.1148010194506
"95%",0.779940724181526,0.612950835436298,2.71389591250219,24.598012387229
"95%",0.776753886002764,0.625226978009265,2.6738925976933,25.0111405483127
